refArea,structure,Value,Observation URI,references,Data Domain,publisher,Year,Element,Unit,dataset,Item
http://dbpedia.org/resource/Lebanon,,6.45e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1990,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1990,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.63e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1991,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1991,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.846e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1992,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1992,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,7.4e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1993,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1993,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,2.256e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1994,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1994,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,3.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1995,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1995,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,8e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1996,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1996,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.7996e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1997,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1997,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.134903e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1998,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1998,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,8.716765e+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-1999,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,1999,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,9.93475e+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2000,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2000,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.453907e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2001,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2001,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,1.335964e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2002,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2002,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,2.86002e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2003,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2003,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,2.483693e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2004,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2004,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,3.321491e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2005,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2005,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,3.131674e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2006,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2006,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
http://dbpedia.org/resource/Lebanon,,3.375981e+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Foreign_Direct_Investment-Lebanon-Total+FDI+inflows-Value+US%24-2007,https://www.fao.org/faostat/en/#data/FDI,,Food and Agriculture Organization,2007,Value US$,million USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Foreign_Direct_Investment-Lebanon,Total FDI inflows
